cssuk;cssut;cssue1;cssue3;RMSD_t1_cc;RMSD_t1_st;RMSD_t1_sw;RMSD_t2_cc;RMSD_t2_st;RMSD_t2_sw;RMSD_t3_cc;RMSD_t3_st;RMSD_t3_sw
5;5;5;1;1.656089888;1.98030062;1.181635159;0.468839608;0.460020505;0.481745613;1.428014547;2.500695346;0.14176223
1;3;5;3;0.17504274;0.223589323;0.758406735;0.481989357;0.167039391;0.942891745;2.715186808;3.703412332;1.269003114
5;0;5;5;1.7551251;1.329647008;2.377775966;0.486398142;0.479306164;0.496776646;2.098328089;3.777350477;0.358777845
5;1;5;5;1.424161433;1.016602316;2.02058941;0.490473153;0.483510901;0.500661815;2.044037425;3.694422817;0.371160708
0;5;5;1;1.562638492;1.902679131;1.065018046;0.49381281;0.162327793;0.978912834;2.295877703;2.921036201;1.381011608
5;1;0;1;1.72759755;1.223232671;2.465692494;0.49493459;0.139333865;1.015325894;3.151066907;4.220210946;1.586465875
5;0;0;1;2.137613647;1.607105602;2.913966884;0.50071188;0.145280655;1.020855136;3.22109717;4.326469943;1.603478478
0;5;5;0;1.560449661;1.900313086;1.06308855;0.500983833;0.169910322;0.985481654;2.308701079;2.922396654;1.410609993
5;1;0;0;1.735037655;1.231439735;2.472010221;0.501932268;0.146579338;1.021960948;3.164227298;4.222383592;1.615705892
5;0;0;0;2.148281735;1.618975661;2.922875989;0.50773153;0.152554985;1.027502085;3.23436435;4.328809433;1.632737398
5;5;5;3;1.673122233;1.998751171;1.19659208;0.508523685;0.501400649;0.51894764;1.356723763;2.491673083;0.304177682
5;3;5;5;0.01696689;0.400642442;0.544509527;0.522769487;0.51676846;0.531551478;1.708558063;3.1906039;0.460289502
0;3;5;3;0.181054996;0.218468749;0.765723891;0.528611029;0.197537178;1.013109347;2.757661893;3.726909358;1.33925097
1;1;5;3;1.807524676;1.40460449;2.397163973;0.528805294;0.216041219;0.98650882;3.134278458;4.328922139;1.386019412
1;0;5;3;2.289734259;1.904959666;2.852819028;0.53477617;0.222319802;0.992029391;3.212789992;4.449133724;1.403506481
1;3;5;1;0.203314157;0.192555088;0.782635003;0.539824074;0.228564186;0.99532635;2.813551743;3.717308419;1.490980999
1;3;5;0;0.206875581;0.18864227;0.785682194;0.547225385;0.236498197;1.0019481;2.826435402;3.719053246;1.520165385
3;5;3;5;1.612716109;1.98126653;1.073374028;0.568789796;0.091843324;1.266760243;2.234477667;2.965430063;1.164791234
0;1;5;3;1.820990206;1.417765993;2.41107442;0.57641053;0.247601579;1.057594362;3.18179881;4.359696789;1.458045669
0;0;5;3;2.313118072;1.931282886;2.871901272;0.582512224;0.254023341;1.063227661;3.262068225;4.482620869;1.475893624
5;5;5;5;1.706940701;2.035362291;1.22632374;0.58585175;0.581398004;0.592369427;1.222376302;2.473721086;0.608859968
0;3;5;1;0.20940038;0.187357423;0.790021555;0.587720935;0.26049223;1.066592212;2.857791338;3.740993484;1.565300394
1;1;5;1;1.87688994;1.486797642;2.447756717;0.588296902;0.279837431;1.039701007;3.235945769;4.347753594;1.608909928
1;0;5;1;2.435790324;2.093051473;2.937359375;0.594490171;0.286422918;1.045320296;3.315725411;4.469990069;1.626557619
0;3;5;0;0.2129713;0.183434659;0.793077583;0.595294514;0.268623834;1.073349168;2.870929494;3.742762175;1.595076789
1;1;5;0;1.886009496;1.497692163;2.454278762;0.595923519;0.28808367;1.046420859;3.249250604;4.350125263;1.638214517
1;0;5;0;2.460822705;2.126705704;2.949774412;0.602147175;0.294711564;1.052052948;3.329193705;4.472622575;1.655883162
0;1;5;1;1.891410044;1.501348478;2.462231848;0.637295476;0.312994484;1.111882294;3.285375065;4.378926069;1.685056523
0;0;5;1;2.473756238;2.141490162;2.959999276;0.643636256;0.319746894;1.117620689;3.367004082;4.504022082;1.7030753
0;1;5;0;1.900687383;1.512455373;2.468831787;0.645111536;0.32146292;1.118743657;3.298953176;4.381348632;1.714959826
0;0;5;0;2.50775573;2.189558771;2.973409817;0.651485153;0.328261279;1.1244957;3.380757717;4.50672486;1.733000923
3;3;3;5;0.127532914;0.31515976;0.775375851;0.662417892;0.185168619;1.360831462;2.804069336;3.79315263;1.356630368
3;5;3;3;1.578093939;1.944084826;1.042497519;0.684300315;0.207868416;1.381517729;2.428521428;2.987967747;1.609819496
3;1;3;5;1.688275233;1.1910914;2.41586133;0.711670736;0.234757809;1.409592093;3.23775813;4.436012084;1.484215758
3;0;3;5;2.083061297;1.561886582;2.845756001;0.717960428;0.241117042;1.415780018;3.319249793;4.559726905;1.503917434
3;5;3;1;1.560650111;1.925340443;1.026956943;0.745448246;0.270293634;1.440796459;2.53934353;2.999342813;1.866173846
3;5;3;0;1.558463273;1.922990026;1.025009487;0.753277719;0.278344198;1.448302385;2.55412161;3.000769812;1.900490095
3;3;3;3;0.182909034;0.255299203;0.824189382;0.784074674;0.30894287;1.47938951;3.003517633;3.822695187;1.804721213
3;1;3;3;1.809047637;1.325947364;2.516023646;0.836968306;0.363206458;1.530278327;3.444763811;4.476688238;1.934630504
3;0;3;3;2.260152898;1.763710432;2.986654067;0.843747317;0.370198459;1.536745646;3.52909098;4.604876048;1.954771369
3;3;3;1;0.211143693;0.224727949;0.849004634;0.848952443;0.37619993;1.54078539;3.117230138;3.837674938;2.062920674
3;3;3;0;0.214699972;0.220874799;0.852126465;0.857288443;0.384914345;1.54856761;3.132382204;3.839557528;2.097491487
3;1;3;1;1.875455875;1.400868746;2.569973624;0.904113762;0.433462992;1.592870987;3.562490326;4.49750922;2.194169994
3;0;3;1;2.371118028;1.893306509;3.070354397;0.91120134;0.440866555;1.599496149;3.648365087;4.628133621;2.214557477
3;1;3;0;1.884112621;1.410683483;2.576935751;0.912761659;0.442595274;1.600810026;3.578157624;4.500135693;2.228921426
3;0;3;0;2.386806048;1.911873435;3.081829384;0.919891941;0.45005656;1.607455913;3.664232783;4.631075079;2.249341619
3;5;1;5;1.594593822;1.978564536;1.032685459;0.944864389;0.285435702;1.909881981;2.545273019;3.098111037;1.736241774
1;5;3;5;1.582553337;1.956627175;1.035128209;0.994964722;0.34260723;1.949634223;2.576391071;3.128084439;1.769034922
3;5;0;5;1.592310445;1.978226505;1.027555236;0.997825597;0.311781618;2.001792397;2.587692873;3.115715413;1.814976962
3;3;1;5;0.156030913;0.310845033;0.839264005;1.055632451;0.392732242;2.025730316;3.146216357;3.964587811;1.948599595
0;5;3;5;1.578762952;1.9535351;1.030315906;1.05568274;0.377529206;2.048102546;2.623284199;3.149779295;1.852803572
3;5;1;3;1.559822761;1.941352925;1.001485936;1.081724621;0.418395148;2.05245068;2.77337094;3.122691891;2.262169549
1;3;3;5;0.17547064;0.275579546;0.835544083;1.109431916;0.45470291;2.067571925;3.18586788;4.007116814;1.984040173
3;3;0;5;0.159663033;0.310304533;0.847420447;1.111553951;0.421340911;2.121621813;3.193321096;3.987821993;2.030636857
3;1;1;5;1.744674449;1.200361536;2.54122993;1.114995945;0.450941618;2.086782765;3.622205407;4.664188234;2.09735249
3;0;1;5;2.15536763;1.574936643;3.00477883;1.122646739;0.458483436;2.094593037;3.717520027;4.807773595;2.122026999
1;5;3;3;1.547646793;1.919178423;1.003941969;1.137498599;0.483387005;2.094735079;2.806662413;3.153053634;2.299748432
3;5;0;3;1.557520304;1.941011146;0.996314192;1.138390154;0.447462306;2.149504077;2.821579508;3.140623683;2.354685592
3;5;1;1;1.54230284;1.922593119;0.985780479;1.155652737;0.49161225;2.127419304;2.911668874;3.135136326;2.584643336
3;5;1;0;1.540106409;1.920240751;0.983812251;1.165209867;0.501163915;2.13698443;2.93087048;3.13669938;2.629657456
1;1;3;5;1.789131686;1.279106826;2.535509529;1.171118294;0.51596126;2.129884686;3.677876797;4.73142279;2.136102174
3;1;0;5;1.752259533;1.201532657;2.558201303;1.172715218;0.481000567;2.184980561;3.676031903;4.696274722;2.18299363
0;3;3;5;0.181541734;0.270582328;0.843186702;1.173909131;0.49288337;2.170532197;3.238875743;4.036487331;2.071639273
1;0;3;5;2.223705166;1.691033707;3.003224375;1.179090661;0.523926889;2.137866912;3.781377189;4.888140126;2.16172411
3;0;0;5;2.165544847;1.576606024;3.027406541;1.180611936;0.48874546;2.19309946;3.773699504;4.843182762;2.208602052
3;3;1;3;0.211989418;0.250862257;0.889333332;1.20252696;0.537658339;2.175505431;3.381613111;3.997960921;2.479640706
0;5;3;3;1.54382023;1.916052472;0.999090121;1.203170093;0.522695155;2.198987075;2.859820198;3.17514521;2.39836896
3;5;0;1;1.539990627;1.922249407;0.980587533;1.214605025;0.522481862;2.227468191;2.965063597;3.153241646;2.689681088
1;5;3;1;1.530056973;1.900296362;0.988243233;1.215376793;0.562234322;2.171195042;2.946833853;3.165700567;2.626541101
3;5;0;0;1.537792967;1.919896795;0.978616632;1.224475874;0.532289226;2.237431945;2.985163878;3.154826889;2.736876545
1;5;3;0;1.5278517;1.897928532;0.986275848;1.225511558;0.572622115;2.180959524;2.966356037;3.167289348;2.672307289
0;1;3;5;1.802424746;1.29063124;2.551390852;1.237928022;0.556269992;2.235476358;3.740716401;4.774371292;2.228050707
0;0;3;5;2.243125911;1.708876686;3.024954046;1.24622286;0.564536327;2.243812907;3.848524541;4.937525621;2.254864424
3;3;0;3;0.215698834;0.250306382;0.897657688;1.262960142;0.569802327;2.277337432;3.434870822;4.021829848;2.575906393
1;3;3;3;0.232001478;0.214605399;0.885572519;1.263544923;0.609717099;2.22036613;3.42388227;4.041457407;2.520113776
3;1;1;3;1.870259393;1.336494852;2.651378233;1.268187888;0.603573984;2.240793601;3.868489909;4.713126377;2.632436542
3;0;1;3;2.344001848;1.78088423;3.168076412;1.276710558;0.612193963;2.249173867;3.968412055;4.863881594;2.657968828
3;3;1;1;0.240531523;0.220224949;0.914809288;1.282944576;0.618893482;2.254726665;3.524008646;4.01497136;2.805526626
0;5;3;1;1.52621183;1.897152938;0.983371185;1.284303416;0.604701408;2.278842941;3.005668989;3.188002394;2.738839615
3;3;1;0;0.244127051;0.216363285;0.918015348;1.293410947;0.629586829;2.264860876;3.54376022;4.017113618;2.85104793
0;5;3;0;1.524004211;1.894782898;0.981401255;1.294902785;0.615561357;2.289060974;3.026185305;3.189618061;2.787015419
3;1;0;3;1.878588347;1.33783101;2.669940548;1.330997556;0.637791434;2.345445538;3.929125431;4.746689852;2.732689692
1;1;3;3;1.921933348;1.427120314;2.646049984;1.332705086;0.680428735;2.287255845;3.928228558;4.783562452;2.676520419
0;3;3;3;0.238223272;0.209463699;0.893374936;1.334237473;0.653748315;2.330075266;3.483624822;4.07165725;2.623089562
3;0;0;3;2.356192671;1.783117538;3.194839207;1.339851759;0.646709151;2.354206795;4.031769696;4.901320272;2.759256657
1;0;3;3;2.444127855;1.945700692;3.17353346;1.341727379;0.689737939;2.295858267;4.037859599;4.949939492;2.703108537
3;3;0;1;0.244281829;0.219660764;0.923222209;1.346268819;0.653496079;2.360082585;3.582705434;4.03918171;2.914691372
1;3;3;1;0.260853721;0.183431976;0.911027912;1.349261153;0.698627303;2.301408251;3.568412749;4.058983709;2.850504026
3;1;1;1;1.939704608;1.412318321;2.711489419;1.352869081;0.690244178;2.322564062;4.016848915;4.738455278;2.960839603
3;3;0;0;0.247882581;0.215798028;0.92643957;1.357139435;0.664546777;2.370689667;3.603395264;4.041367884;2.962459722
1;3;3;0;0.26448927;0.179501185;0.914231399;1.360524027;0.710493294;2.311788514;3.588521272;4.061192089;2.896807882
3;0;1;1;2.464524737;1.914906357;3.268844316;1.361996082;0.699644588;2.331290952;4.119378196;4.893251709;2.986880373
3;1;1;0;1.948781783;1.422265014;2.719294129;1.363947328;0.701732294;2.3330425;4.037380415;4.741664928;3.006720153
3;0;1;0;2.481790157;1.934309079;3.282981979;1.373162176;0.71124844;2.341816425;4.140252963;4.896991294;3.032831015
0;1;3;3;1.937022973;1.440601446;2.663493501;1.406691942;0.727769705;2.400236679;3.998859603;4.828788312;2.784329785
0;0;3;3;2.471806175;1.973891547;3.200461727;1.416183476;0.737563927;2.409285254;4.11369765;5.003018089;2.812253104
3;1;0;1;1.948514041;1.41377181;2.731063646;1.419035698;0.727464392;2.431091267;4.083325398;4.77284282;3.074275513
1;1;3;1;1.996762761;1.51170533;2.706602903;1.423821285;0.776521365;2.371089461;4.079561662;4.810686567;3.009622776
0;3;3;1;0.267156306;0.178211921;0.918914688;1.424271452;0.747160514;2.415165507;3.634153658;4.089631131;2.967601258
3;0;0;1;2.478479627;1.917778243;3.299018239;1.428565816;0.73724863;2.440249502;4.188806028;4.93185513;3.101417098
3;1;0;0;1.957658405;1.423735726;2.739008667;1.430590751;0.739397766;2.442092679;4.104851601;4.776160064;3.122448971
1;0;3;1;2.615497449;2.155842584;3.288163106;1.43362945;0.786891553;2.380075154;4.1927678;4.982689347;3.036785048
1;1;3;0;2.006652579;1.522968618;2.714482766;1.435891021;0.789486363;2.381849057;4.100562086;4.81413112;3.05631472
0;3;3;0;0.270802235;0.174271015;0.922128943;1.436170079;0.759723579;2.426091785;3.655306178;4.09189716;3.016392546
3;0;0;0;2.496044894;1.937306164;3.313711329;1.440220102;0.749311959;2.45130519;4.210707002;4.935748638;3.149670462
1;0;3;0;2.647221349;2.19680266;3.306370651;1.445819179;0.800022721;2.390887167;4.214245012;4.986882379;3.083556181
1;5;1;5;1.564205819;1.953906728;0.993911805;1.499121237;0.58424444;2.83796533;2.955925645;3.281184993;2.479936354
0;1;3;1;2.013177917;1.526718691;2.725069467;1.503036477;0.829588797;2.488569667;4.156837868;4.857206706;3.131907862
0;0;3;1;2.664296197;2.21428457;3.322849799;1.513462174;0.8406483;2.498067844;4.275846951;5.038001571;3.160498727
0;1;3;0;2.02326839;1.538221162;2.733093602;1.515899176;0.843470897;2.499940559;4.178972394;4.860821592;3.1811443
0;0;3;0;2.711727477;2.27965315;3.344031371;1.52647155;0.854734848;2.509500869;4.298542284;5.042496996;3.20982807
1;5;0;5;1.561893472;1.953566384;0.9887136;1.580449622;0.619221421;2.987125039;3.011471213;3.302558398;2.585489965
0;5;1;5;1.560386597;1.950812313;0.989031891;1.589196621;0.628384376;2.995263323;3.016244409;3.306758432;2.591101936
1;3;1;5;0.204854448;0.271190349;0.901505371;1.65433004;0.724723164;3.014730348;3.615301903;4.217502766;2.734032347
0;5;0;5;1.558070539;1.950471676;0.983824973;1.679840536;0.665301112;3.164532374;3.074917021;3.32904178;2.703027128
1;5;1;3;1.529144287;1.916427284;0.962388682;1.694133529;0.76037934;3.060603073;3.257322813;3.31009847;3.180090143
1;1;1;5;1.853008774;1.289102981;2.678236763;1.74285758;0.806043835;3.113804522;4.191704448;5.050928662;2.93430316
1;3;0;5;0.208605328;0.270640483;0.90994066;1.74605142;0.765382964;3.18117599;3.679819975;4.248299058;2.847899367
1;0;1;5;2.313951453;1.706205292;3.20333608;1.754700152;0.816998161;3.126946969;4.334399683;5.262423125;2.976316598
0;3;1;5;0.211042961;0.266183486;0.909423129;1.756071466;0.775920247;3.190439104;3.686290301;4.254803248;2.854320135
1;5;0;3;1.526812058;1.916083094;0.957147127;1.788953204;0.802316582;3.232811676;3.328863064;3.332364311;3.323739288
